Project;repoPushed;solcVersion;hasTestDir;testScript;compile;migrate;test;pass;fail
ricochen/ERC20Token;2018-05-18T21:46:26Z;^0.4.23;true;false;true;true;true;3;1;
ryu9827/BNC;2018-05-15T23:56:55Z;^0.4.11;true;true;false;;;;;
yuriyZemlianoi/master;2018-06-29T20:28:45Z;^0.4.23;true;true;true;false;;;;
aflesher/stock-portfolio-contract;2018-06-29T21:47:16Z;^0.4.23;true;true;true;true;true;0;1;
jordanonuma/zCryptoZombies_r1/erc721x;2019-01-29T03:37:39Z;^0.4.25;true;true;false;;;;;
jordanonuma/zCryptoZombies_r1/zb_game_mode-master;2019-01-29T03:37:39Z;0.4.24;true;true;false;;;;;
ViRehab/VirtualRehabPreSale;2019-06-02T19:28:49Z;0.4.24;true;false;true;true;false;;;
LootSafe/lootsafe.marketplace.contracts;2018-08-29T08:24:16Z;0.4.24;true;;true;true;true;10;3;
Wxia33/Ethereum-Flight-Insurance;2018-09-01T19:11:03Z;^0.4.17;true;;true;true;false;;;
sagap/solidity-test-sources/src/aragonOS;2018-08-20T12:20:23Z;0.4.18;true;true;true;false;;;;
sagap/solidity-test-sources/src/openzeppelin-solidity;2018-08-20T12:20:23Z;^0.4.24;true;true;true;false;;;;
rayonprotocol/rayonprotocol-contract-kyc;2018-11-01T05:43:28Z;^0.4.23;true;true;false;;;;;
oberon2410/dubiex;2018-09-29T23:01:54Z;0.4.18;true;true;false;;;;;
BlockchainLabsNZ/beam-contracts-audit;2018-09-26T05:17:49Z;0.4.24;true;false;true;true;false;;;
34x4p08/tkn-smartcontracts;2018-05-23T08:35:18Z;^0.4.18;true;;true;true;false;;;
WYANG008/posOracle;2018-12-09T01:01:59Z;0.4.24;true;true;true;false;;;;
axblueblader/BLVToken;2018-10-03T04:08:31Z;0.4.24;true;false;true;true;false;;;
SabaunT/Vote;2018-12-29T18:11:35Z;^0.5.0;true;false;true;true;true;4;11;
etherisc/GIF/core/gif-contracts;2019-04-26T15:10:41Z;0.5.2;true;true;true;false;;;;
aragon/aragon-court;2019-07-15T15:15:36Z;^0.4.24;true;true;true;true;true;5;10;
atvanguard/optimistic-zkdai;2019-01-17T03:18:27Z;^0.4.25;true;true;false;;;;;
atpar/actus-solidity;2019-07-15T22:17:03Z;^0.5.2;true;true;true;true;true;34;0;
cryptoeconomicslab/plasma-predicates;2019-07-13T10:38:31Z;0.5.6;true;true;false;;;;;
dreamteam-gg/trickle-smart-contracts;2019-05-13T19:47:20Z;0.5.7;true;;true;true;true;18;0;
SwingbyProtocol/btc2eth1;2019-04-23T06:12:37Z;0.5.1;true;false;true;true;true;1;8;
relevant-community/token;2019-06-17T17:33:03Z;^0.5.0;true;true;true;true;true;10;0;
NemboKid/final-project;2019-02-02T09:02:00Z;^0.5.0;true;;true;true;false;;;
decent-bet/prediction-market/core;2019-02-12T19:04:47Z;0.5.0;true;true;true;false;;;;
godappslab/erc223-token-implementation;2019-03-29T03:20:45Z;^0.5.0;true;false;false;;;;;
godappslab/internal-distribution-token;2019-03-29T03:20:39Z;^0.5.0;true;false;false;;;;;
maticnetwork/testnet-token-contracts;2019-07-03T17:07:23Z;0.5.2;true;;true;true;true;2;0;
k06a/Soliditemp;2019-03-07T09:55:16Z;^0.5.0;true;true;true;true;true;1;0;
peepeth/badges;2019-05-08T09:07:27Z;0.5.8;true;true;true;true;true;14;0;
OpiumProtocol/erc721o;2019-07-14T10:32:14Z;^0.5.4;true;true;true;true;true;9;0;
kuknos-network/DAO-smart-contract;2019-06-25T11:30:35Z;0.4.21;true;true;true;true;true;5;2;
